"mape","mae","nmae","mse","rmse","nrmse"
"ann1",0.112051240801838,251.658841819715,0.0957718915928875,101200.352360939,318.120028229817,0.121064519874801
"ann2",0.131970457033994,292.554788304815,0.111335350937445,122209.352067291,349.584542088593,0.13303873062979
"ann4",0.140349017862031,313.754970768367,0.11940334315249,131403.852967461,362.496693733145,0.137952609985632
"svm_l",0.0760176190153908,170.444568606921,0.0648647932621128,48712.903227092,220.7099980225,0.083993925471612
"svm_p",0.0610630631778123,131.828333410897,0.0501689063058799,34577.3700145777,185.949912650094,0.0707655441281484
"svm_r",0.129300835200838,290.317481269989,0.110483916013681,121192.639997937,348.12733302333,0.132484171657741
"gbm1",0.104746100001657,225.619257853802,0.0858622051512171,85213.9772069984,291.91433196573,0.111091617339081
"gbm3",0.111677008688473,240.786529375244,0.0916342983286627,95036.0546125489,308.279182904959,0.117319464208091
"gbm4",0.0839655175502948,183.523211013903,0.0698420327412683,79145.9378408344,281.328878433826,0.107063191789681
"rf1",0.0699488033493349,152.432082007264,0.0580099182199058,52938.9471320136,230.084652100077,0.0875615662806789
"Qlearning",0.0522431071543023,112.521656711455,0.0428215111795742,35811.8426805251,189.240171952271,0.0720176930887095
